Date,tank,treatment,temp,salinity,DO,pH,time
10/5/2022,12,C,31.6,29.87,6.3,7.99,pwc
10/6/2022,12,C,33.8,30.6,6.1,8.08,am
10/6/2022,12,C,32.9,30.34,6.2,8.01,pwc
10/7/2022,12,C,34.7,30.69,6,8.07,am
10/7/2022,12,C,32.7,29.97,6.1,7.96,pwc
10/8/2022,12,C,34.5,30.78,6.1,8.07,am
10/8/2022,12,C,33.3,29.97,6.2,8.02,pwc
10/9/2022,12,C,34.8,30.49,6.1,8.11,am
10/9/2022,12,C,33.2,30.25,6.2,8.02,pwc
10/10/2022,12,C,34.7,30.74,6,8.14,am
10/10/2022,12,C,33.1,29.74,6.2,8.03,pwc
10/11/2022,12,C,34.6,30.53,6,8.02,am
10/11/2022,12,C,33.5,30.29,6,8.03,pwc
10/12/2022,12,C,34.7,31.08,6,8.01,am
10/12/2022,12,C,33.4,30.03,6.2,7.99,pwc
10/13/2022,12,C,35,30.85,5.9,7.96,am
10/13/2022,12,C,34,30.29,6,7.98,pwc
10/14/2022,12,C,34.9,30.37,6,7.94,am
10/14/2022,12,C,33.9,31.47,6.1,7.96,pwc
10/15/2022,12,C,34.9,31.91,5.9,8,am
10/15/2022,12,C,34.1,30.08,5.9,8.01,pwc
10/16/2022,12,C,35,30.93,5.9,7.99,am
10/16/2022,12,C,34.1,30.99,5.7,8.05,pwc
10/17/2022,12,C,35.2,31.5,5.9,8.03,am
10/17/2022,12,C,33.7,29.43,6.1,8.08,pwc
10/18/2022,12,C,34.4,30.2,6.1,7.98,am
10/18/2022,12,C,33.4,29.57,6.2,8.02,pwc
10/19/2022,12,C,34.6,30.1,6.1,7.8,am
10/19/2022,12,C,32.7,30.19,6.2,7.98,pwc
10/20/2022,12,C,34.1,30.52,6.1,7.82,am
10/20/2022,12,C,34,30.73,6.1,7.8,pwc
10/21/2022,12,C,34.7,31.47,6,8.06,am
10/21/2022,12,C,32.3,29.72,6.2,8.06,pwc
10/22/2022,12,C,34.6,30.31,6,8.09,am
10/22/2022,12,C,34.4,30.4,6.1,8.1,pwc
10/23/2022,12,C,33.7,30.33,6.3,8.11,am
10/23/2022,12,C,34.3,30.72,6,8.06,pwc
10/24/2022,12,C,35.1,31.37,5.9,8.16,am
10/24/2022,12,C,33.1,29.21,6.1,8.16,pwc
10/25/2022,12,C,34.4,30.09,6.3,8.07,am
10/25/2022,12,C,32.9,30.02,6.1,8.04,pwc
